id	description
152237	Pairs is the name of the game, and pairs of cards are what players want to avoid. The game uses a 55-card deck that contains one 1, two 2s, three 3s, and so on up to ten 10s. At the start of the game, shuffle the deck, then remove five cards from play unseen. Deal one card face-up to each player. Whoever has the lowest card is the first active player. She decides whether to "hit" — that is, be dealt another card — or forfeit the round. If she hits and is dealt a card that doesn't match a card she already has in front of her, then the next player clockwise becomes the active player; if the card does match, then the round ends, she keeps one of these matching cards as penalty points, then everyone else discards their cards and a new round begins with each player being dealt a card. If the active player forfeits, the round ends and she takes the lowest-valued card visible on the table as penalty points, then a new round begins. Penalty cards remain set aside, even if the deck is shuffled to continue play. If a player acquires more penalty points than the predetermined threshold, then the game ends and this player loses. (Alternatively, players can use coins to track scores between games, with the loser paying everyone one coin, paying her score in coins to the player with the lowest score, etc.) There are many versions of Pairs from Cheapass Games. The base game play is identical, but the artwork (and artist) vary across the versions. Some include special game rules relevant to the theme of the deck. In general, you can find new/experimental/user-submitted rules at the Cheapass website, and many non-English versions of Pairs also include rules for additional games to play with this deck.
152470	Fief: France 1429 is a game of dynastic ambition in which players assume the roles of nobles in the 15th century kingdom of France. Each player strives to become the most powerful ruling force in the kingdom by gaining control of Fief and Bishopric territories. In turn, they acquire Royal and Ecclesiastical (church) titles which give their families influence to elect the next Pope and King. Players strengthen their positions by negotiating marriage alliances between their families, setting the stage for love, treachery and deception! Fief is a classic French-language game and is being re-introduced by Academy Games in English with updated rules, new units, a new and larger consolidated map, and more. This edition also includes additional components, which enhances game play. The game board represents a portion of the Kingdom of France in the Middle Ages. Villages have square outlines that are connected by roads that allow Lord and Troop movement. The villages are grouped into eight colored background areas that represent individual Fiefs, which are domains given to Lords to preside over. Fiefs have different colored backgrounds and Bishoprics have heavy bordered outlines that include several different Fiefs. Each village also belongs to one of five church Bishoprics; each Bishopric is outlined with a heavy border line and is numbered between 1-5 along the edge of the board inside a Bishop's Mitre. Each player controls up to four family members, comprised of male and female nobles. These family members will rise in power by gaining Royal and Ecclesiastic Titles. In Fief: France 1429, a player may attempt to gain control of all the villages in a Fief to gain the Royal Title of Baron, Earl or Duke. For each Fief a player controls, he gains 1 VP. These Titled Lords may now take part in the election for the next King. They may even be a candidate to become King, thus bringing 1 VP and more power to the family! Other members of your family may follow the calling of the Church to gain the Ecclesiastical Titles of Bishop and then Cardinal. These titles allow you to Tithe Bishoprics, taking the Church's (i.e. "your") fair share of income from other Fief Lords! The highest goal your clerical family member can attain is to be elected Pope, bringing 1 VP and special privileges to your family! You win the game as soon as you have 3 VPs. This is easier said than done and you may need to form alliances with other players through diplomacy and marriage to obtain your goal. When one of your family members marries a noble of another family, the two of you become allied. You now win the game together with 4 VPs and cannot win alone, unless your marriage is annulled by the Pope or your spouse is "mysteriously" murdered or dies of some other foul means! In addition to being wary of your fellow players, you may draw event cards that can quickly change your destiny. Bounty Event cards are beneficial to the Player and include "Good Harvest", "Good Weather" and "Added Taxes" cards. But some cards are Disaster Cards that can randomly effect all players in specific Bishoprics. These include "The Plague", "Heavy Rain", "Famine", and "Peasant Uprisings"! Income can be increased by players imposing church tithes on their opponent's villages or taxing their own Fiefs. Players may purchase new Fief titles, improve their village incomes with mills, and fortify their cities. Players will also need to protect their land and castles. Men at Arms and Knights can be purchased, as well as Siege Engines. If you feel that other players are not running their Fiefs as well as you can, you may try to invade their territories! But you must risk one of your family members to lead the troops into possible battle, where they might be killed or taken prisoner. If two opposing armies are in the same village square, a Battle may be initiated. The players assess the size and strength of their armies, which determine the number of Battle Dice each may roll. Each "f" rolled is a hit. Men at Arms are defeated with one hit, while Knights require three hits to be removed from the battle. The Kickstarter Edition of Fief: France 1429 included the Fief: France 1429 Expansions Pack and offered 3-D buildings and metal coins as 'add ons.' These items are all still available directly from Academy Games. This game is the most recent edition of Fief. It re-implements: Fief (first original edition, 1981) Fief 2 (second edition with updated rules, 1989) Fief (third edition with completely revised rules and material, 2011)
154203	Settlers from four major powers of the world have discovered new lands, with new resources and opportunities. Romans, Barbarians, Egyptians and Japanese all at once move there to expand the boundaries of their empires. They build new buildings to strengthen their economy, they found mines and fields to gather resources, and they build barracks and training grounds to train soldiers. Soon after they discover that this land is far too small for everybody, then the war begins... Imperial Settlers is a card game that lets players lead one of the four factions and build empires by placing buildings, then sending workers to those buildings to acquire new resources and abilities. The game is played over five rounds during which players take various actions in order to explore new lands, build buildings, trade resources, conquer enemies, and thus score victory points. The core mechanism of Imperial Settlers is based on concepts from the author's card game 51st State.
154458	Akrotiri places you in the role of an explorer in Classical Greek times, combing the then-uncharted Aegean sea for lost Minoan temples that have long ago fallen into ruin. You've not only heard of these temples hidden around the island of Thera, but you actually have access to the secret maps that tell you of their hidden locations! Two mountains to the north? A volcano to the west? This *must* be the spot... But running an expedition can be costly. In order to fund your voyages into the unknown and excavate the ancient temples, you will have to first ship resources found on surrounding islands back to the resource-poor island of Thera. In Akrotiri — which combines tile placement, hand management, and pick-up and delivery — players place land tiles in order to make the board match the maps that they have in hand. Players excavate temples; the ones that are harder to find and the ones further away from Thera are worth more towards victory, but the secret goal cards keep everyone guessing who the victor is until the end! May the gods forever bless you with favorable winds!
154825	In Arkwright players run up to four factories in England during the late 18th Century. Your goal is to have the most valuable block of own shares. Thus, you must increase your share value and buy shares from the bank. To run the factories, you need workers. When hiring Workers, demand is automatically created. But of course you want to replace your expensive workers (wage 2-5) by machines (1). To have more output from your factories you may employ new Workers or improve your factory to the next technical level. You fix the price for your goods during an action round. To enhance your chances of selling goods, you improve your factories to higher levels, increase the quality and make some sales promotion. The higher these factors, the better are your chances of success - the higher the price, the lower. Each player has an own set of "action tokens" like "build and modernize factories", "employ new workers", "improve quality" etc. On your turn you place one of those tokens on one of the free spaces in your line of the "Administration board" and pay the according administration costs, ranging from 2 to 10 (even numbers). Some actions depend on how much you paid, i.e. you may buy more machines with one single action, when you pay more (= use a higher space, which is then blocked for the rest of the round). During the game your actions become more and more effective by new tokens, i.e. allow you to buy 3 machines in a single turn instead of 2, increase quality 2 levels instead of only 1...). After each round of actions one kind of factories is active and you have to pay for all your workers and machines there, then sell the manufactured products. The value of your shares increases for sold products and best quality. Goods may also be traded to the colonies by ship - provided you have a contract with the monopoly of the East Indian Company. After four turns each of the factories has produced and the round ends. Players remove the action tokens from the administration board and reveal an event token. After 5 rounds the player with the most valuable block of shares wins. Neither being to be the one with the most shares nor being the one with the highest share value guarantees victory. Arkwright allows you to act in different ways. Run all four factories with most possible output, set the focus on only two factories and improve them more than the others can; use shipping to colony or focus on the home market. In any way you have to react to the opponents and their strategy. Enter markets with deficit in supply or give up business where the other players start to push you out. Buy shares when they are cheap and increase the value, or first make money and buy shares later. To get familiar with the market mechanics you may start with a 120 minutes version "Spinning Jenny", but for those who like full strategy in economic themed games, the 240 minute "Waterframe"-Rules come with more options to improve your factory and use ships.
154906	In Isle of Trains, players are train operators, building trains with the right mix of freight cars needed to complete delivery contracts before your opponents. Cards are used in multiple ways: they can be built as train cars or buildings supporting your train line, used as currency to pay the cost of building those new train cars and buildings, or used as cargo to load on available train cars. When loading cargo on an opponent’s train, players receive an immediate benefit or action, but they are also giving their opponent the cargo they just might need to be able to complete a delivery contract and score big! Balancing the need to upgrade your train, take advantage of benefits from loading other players' trains, and complete delivery contracts first is the key to being the most successful train operator on the Isle of Trains!
155068	In Arcadia Quest, players lead guilds of intrepid heroes on an epic campaign to dethrone the vampire lord and reclaim the mighty Arcadia for their own. But only one guild may lead in the end, so players must battle against each other as well as against the monstrous occupying forces. Arcadia Quest is a campaign-based game for 2 to 4 players, where each player controls a guild of three unique heroes, facing off against the other players and the various monsters controlled by the game. Players need to accomplish a series of quests in order to win each scenario and choose where to go next in the campaign. Players are able to choose the path their campaign takes, navigating through six out of eleven available scenarios, so each time the campaign is played it can have a different configuration of scenarios. As the campaign progresses, the heroes are able to acquire new weapons, equipment and abilities that give them powerful options to tackle the obstacles ahead. Furthermore, by fulfilling specific quests in a scenario, players unlock exclusive features in subsequent scenarios.
155122	Recreate the infamous Battle of Hastings! A promise has been broken, an evil omen is in the sky, a crown is at stake, and history is about to be made... 1066, Tears to Many Mothers is an asymmetric, competitive, tactical card game in the style of Magic the Gathering, but non-collectable. Each player, as either Normans or Saxons, musters troops and resources to overcome the various obstacles in their way before the two armies clash on the battlefield at Hastings. Every card in the game is inspired by a real person or event from the time. With a focus on quick, tactical play and a thematic re-imagining of the events of the time, there is no deck building required, each player simply grabs their deck and shuffles, then play begins. Honours: 1066, Tears to Many Mothers was a runner up in the Golden Geek Awards, and was nominated in the Origins Awards for 'Best Historical Board Game'. Note on title: In April of 1066 Halley's Comet was in its perihelion orbit and writers at the time said it was four times the size of Venus and shining with a light equal to a quarter of that of the Moon. Many thought it was an evil omen, or even the end of the world - the monk Eilmer of Malmesbury Abbey wrote about the event: "You've come, have you? – You've come, you source of tears to many mothers. It is long since I saw you; but as I see you now you are much more terrible, for I see you brandishing the downfall of my country."
155987	The Abyss power is once again vacant, so the time has come to get your hands on the throne and its privileges. Use all of your cunning to win or buy votes in the Council. Recruit the most influential Lords and abuse their powers to take control of the most strategic territories. Finally, impose yourself as the only one able to rule the Abyssal people! Abyss is a game of development, combination and collection in which players try to take control of strategic locations in an underwater city. To achieve this, players must develop on three levels: first by collecting allies, then using them to recruit Lords of the Abyss, who will then grant access to different parts of the city. Players acquire cards through a draft of sorts, and the Lords of the Abyss acquired on those cards grant special powers to the cardholder — but once you use the cards to acquire a location, that power is shut off, so players need to time their land grabs well in order to put themselves in the best position for when the game ends.
156009	The merchant players in Port Royal, which won the Austrian Game Designers Competition under the title Händler der Karibik, are trying to earn as much as they can out of the Caribbean Sea, but if they set their goals too high, they might take home nothing for the day. The 120-card deck depicts a coin on the back of each card — with players earning and paying coins throughout the game — and different items on the card fronts. On a turn, a player can first draw as many cards as he likes, one at a time from the deck, placing them in the harbor (an area near the deck). Each card shows one of the following: Person, who stays in a face-up row next to deck. Ship, which the player can attack immediately if he has enough swords on his people cards, after which the ship is discarded; otherwise, the ship stays in the harbor. Expedition, which remains above the harbor until a player fulfills it by discarding people who have the items required for the expedition. Tax Increase, which forces everyone with twelve or more coins to discard half their money, after which the card is discarded. If the player draws a ship with the same name as a ship already in the harbor, he's spent too much time dilly-dallying and his turn ends (after using the ship to attack, if possible), with all the cards in the harbor being discarded. Otherwise, the player can stop whenever he likes, then use/acquire one card if three or fewer ships are in the harbor, two cards if four ships are present, and three cards if five ships are present. Players rob ships, collecting the number of coins shown on them, then discarding the card, while they hire people, paying the number of coins depicted. After the active player takes his 1-3 cards, each other player may pay the active player one coin in order to take one card in the same way. When one player has at least twelve influence points — which are on both people and expedition cards — the game is played to the end of the round, giving everyone the same number of turns, then the player with the most influence points wins. • Port Royal differs from Händler der Karibik in that it includes ten more cards to allow for play with up to five players and players can win without fulfilling an expedition.
156129	Deception: Murder in Hong Kong is a game of deduction and deception for 4-12 players that plays in about 20 minutes. In the game, players take on the roles of investigators attempting to solve a murder case – but there's a twist. The killer is one of the investigators! Each player's role and team are randomly assigned at the start of play and include the unique roles of Forensic Scientist, Witness, Investigator, Murderer, and Accomplice. While the Investigators attempt to deduce the truth, the murderer's team must deceive and mislead. This is a battle of wits! The Forensic Scientist has the solution but can express the clues only using special scene tiles while the investigators (and the murderer) attempt to interpret the evidence. In order to succeed, the investigators must not only deduce the truth from the clues of the Forensic Scientist, they must also see through the misdirection being injected into the equation by the Murderer and Accomplice! Find out who among you can cut through deception to find the truth and who is capable of getting away with murder! Roles Forensic Scientist x1 As the game master, the Forensic Scientist holds the solution to the crime. They are responsible for assisting the Investigators in identifying the "Key Evidence" and "Means of Murder." When an Investigator does that successfully, the crime is solved and the Forensic Scientist and the Investigators win the game. During the game, the Forensic Scientist is NOT allowed to hint to the solution with words, gestures, or eyes. Murderer x1 When the crime takes place, the Murderer chooses 1 Clue card and 1 Means card as the solution to the crime. These will be the "Key Evidence" and "Means of Murder" respectively. The Murderer tries to hide their role and look for a scapegoat. Even if they are identified, the Murderer still wins the game if no one correctly identifies both the "Key Evidence" and the "Means of Murder". Investigators x8 To solve the crime, the Investigators must analyze the hints given by the Forensic Scientist. As long as one of the Investigators correctly identifies both the "Key Evidence" and "Means of Murder," the Murderer is arrested and the Investigators win the game (as does the Forensic Scientist). Bear in mind that the Murderer (and sometimes Accomplice) is among the Investigators! The innocent Investigators must make a vigorous effort to defend themselves from false accusation. Accomplice x1 The Accomplice is an optional role for games with six or more players. The Accomplice knows who the Murderer is, as well as the solution to the crime. The Accomplice and Murderer both win if the Murderer gets away with his crime. Witness x1 The Witness is an optional role when playing with six or more players.* The Witness is an Investigator who has witnessed the culprits leaving the crime scene. They have no way of knowing which is the Murderer and which is the Accomplice and they do not know how the crime was committed. If the Murderer is arrested but can identify the Witness, the Witness is considered to be killed, allowing the Murderer and the Accomplice to get away with murder and win the game.
156336	You are a Dreamwalker, lost in a mysterious labyrinth, and you must discover the oneiric doors before your dreamtime runs out – or you will remain trapped forever! You may wander through the chambers of dreams, hoping that chance will reveal the doors, or you can linger in each type of room. In both cases, you will have to deal with the slithering Nightmares, which haunt the hallways of the labyrinth. Onirim is a solo/cooperative card game. You (and a partner, if you wish) must work (together) against the game to gather the eight Door cards before the deck runs out; you can obtain those Door cards either by playing cards of the same color three turns in a row, or by discarding (under specific circumstances) one of your powerful Key cards. In both cases you will have to decide the best use of each card in your hand and carefully play around the Nightmares. Those cards are hidden in the deck and will trigger painful dilemmas when drawn... Seven mini-expansions, all standalone and compatible with one another, are included with the second edition of Onirim, including these three that were in the first edition of the game: "The Towers" introduces a new type of card that allows more searching and deck manipulation, while also imposing an additional victory condition. "Happy Dreams and Dark Premonitions" adds evil time bombs that will impede your progress at predictable moments of your quest as well as helpful but unreliable allies. In "The Book of Steps Lost and Found", you must find the eight Door cards in a randomly given order and may remove discarded cards from the game to cast powerful spells that will help you complete this difficult task. In addition to these three variants from the first edition, there are four new modules in the Onirim 2nd edition box. Just like previously, each module consists of something that makes the game easier and something that makes the game harder: "The Glyphs" introduces a fourth symbol on location cards (apart from Key, Sun and Moon), which makes it easier to compose the row of unrepeated symbols. Player must then find one extra door of each color (so 12 doors in total) to win "The Dreamcatchers" are four cards that "guard" the Limbo piles. The Limbo pile stays with Dreamcatcher until some effect allows the player to shuffle the pile back to the deck... if all Dreamcatchers are full and new cards should come to Limbo, a Dreamcatcher is discarded and his cards shuffled back. Also, four new "Lost Dreams" cards are supposed to be in Limbo at the end of the game, as an extra winning condition - so discarding all Dreamcatchers means loss. "The Crossroads and Dead Ends" introduce location cards with a given symbol (3 Sun, 2 Moon, 1 Key), but serving as any color "joker". It also contains 10 "Dead End" cards, that remain in players hand (un-discard-able on its own) and block her 5-cards hand limit... until a player discards the whole hand (=the only way to discard a Dead End). "The Door To The Oniverse" brings several one-time abilities cards as "inhabitants of the Oniverse"... and one extra colorless door to find. Apart from all those, there are a few special rules to use the dark meeple in the game (which interferes with Nightmare cards resolving), making the game easier or harder, depending on the chosen variant.
156786	Munchkin Panic is a semi-cooperative board game that blends the all-for-one gameplay of Castle Panic and the all-for-me gameplay of Munchkin. In this hybrid game, the Munchkin monsters have found the Castle Panic towers and are on the rampage! Players need to combine cards to hit and slay the monsters before they destroy the castle. The card combos available in Munchkin Panic are created from a unique mixing of the decks of the two source games. Each defeated monster becomes a trophy and gives up its treasure to the victor. If players work together to defeat the monsters, the player with the highest point count becomes Master Munchkin — but players must balance their self-interest with the cooperation necessary to survive. If players get too greedy, the monsters will stomp the castle flat while the players are too busy fighting amongst themselves!
156878	In the wooden stacking-and-building game tummple!, players take turns rolling a twelve sided die which tells them whether they must place a brick or an obstacle. The object is to avoid making any part of the structure collapse. If you make any bricks fall, you have to take them. At the end, the person with the fewest bricks wins.
157354	Crossing into the Land of 1001 Nights, your caravan arrives at the fabled Sultanate of Naqala. The old sultan just died and control of Naqala is up for grabs! The oracles foretold of strangers who would maneuver the Five Tribes to gain influence over the legendary city-state. Will you fulfill the prophecy? Invoke the old Djinns and move the Tribes into position at the right time, and the Sultanate may become yours! Designed by Bruno Cathala, Five Tribes builds on a long tradition of German-style games that feature wooden meeples. Here, in a unique twist on the now-standard "worker placement" genre, the game begins with the meeples already in place – and players must cleverly maneuver them over the villages, markets, oases, and sacred places tiles that make up Naqala. How, when, and where you dis-place these Five Tribes of Assassins, Elders, Builders, Merchants, and Viziers determine your victory or failure. As befitting a Days of Wonder game, the rules are straightforward and easy to learn. But devising a winning strategy will take a more calculated approach than our standard fare. You need to carefully consider what moves can score you well and put your opponents at a disadvantage. You need to weigh many different pathways to victory, including the summoning of powerful Djinns that may help your cause as you attempt to control this legendary Sultanate.
157526	Viceroy is a board game of bidding and resource management set in the fantasy universe of the famous Russian CCG Berserk. As the players struggle for control over the world of Laar, they recruit a variety of allies and enact various laws. These cards allow players to develop their state's military and magical might, increase their authority, and get precious gems they need to continue expanding their nation. As the game progresses, each player builds their own power pyramid using character and law cards. Each card has its own effect that depends on the level of the pyramid where the card is played. These effects may give more resources, more cards, or victory points. The player who has the most power points at the end of the game becomes the ruler of entire Laar and the winner!
157723	This version of We Didn't Playtest This at All includes the Chaos Pack Expansion and comes in a sturdy 2-deck-playing-card-type box with a lift top. The Chaos Pack Expansion contains a side deck of 15 cards you can use alongside We Didn't Playtest This at All. Every game, you randomly draw one Chaos card, and it becomes a rule that must be followed for the entire game. From the publisher's website: "The most aptly named game ever! In this exceptionally silly and awesome game, your objective is to win! Simple enough. Sadly, all of your opponents have the same simple goal, and they're trying to make you lose. Between Rock Paper Scissors battles, being eaten by a random Dragon, or saved by a Kitten Ambush, there are many hazards to avoid." Play Summary Everyone starts with 2 cards. On your turn, draw one card from the deck, and then play one from your hand following the instructions on the card. There are many hazards to avoid, including: bombs, dragons, arrows, laser pointers, black holes, Rock Paper Scissors battles, number battles, zombies, etc. Luckily items abound that can save you, too: spaceships, science, shields, dinosaurs and a kitten ambush! There are Star Cards: they are clearly superior to normal cards. Every player has an equal chance of drawing a Star Card from the deck. Integrates with: We Didn't Playtest This Either
158899	On the 11th of July, 1899 at 10 a.m., the Union Pacific Express has left Folsom, New Mexico, with 47 passengers on board. After a few minutes, gunfire and hurrying footsteps on the roof can be heard. Heavily armed bandits have come to rob honest citizens of their wallets and jewels. Will they succeed in stealing the suitcase holding the Nice Valley Coal Company's weekly pay, despite it having been placed under the supervision of Marshal Samuel Ford? Will these bandits hinder one another more than the Marshal since only the richest one of them can come out on top? In Colt Express, you play a bandit robbing a train at the same time as other bandits, and your goal is to become the richest outlaw of the Old West. The game consists of five rounds, and each round has two phases: Phase 1: Schemin' Each player plays 2-5 action cards on a common pile, with the cards being face up or face down depending on the type of the round. Instead of playing a card, a player can draw three cards from her deck. Phase 2: Stealin' The action cards are carried out in the order they were played, with a player's best laid plans possibly not panning out due to mistakes and oversights! The game takes place in a 3D train in which the bandits can move from one car to another, run on the roof, punch the other bandits, shoot them, rob the passengers, or draw the Marshal out of position. The train has as many cars as the number of players, and each car is seeded with gems, bags of loot or suitcases at the start of play. Each player starts a round with six cards in hand, with each card showing one of these actions. At the start of a round, a round card is revealed, showing how many cards will be played; whether they'll be played face up or face down, or individually or in pairs; and what action will occur at the end of the round (e.g., all bandits on top of the train move to the engine). You can pick up loot, gems or suitcases only by playing a "steal" card when you're in a train car that holds one of these items — but since everyone is planning to get these goods, you'll need to move, punch and shoot to get others out of your way. You can punch someone only in the same car as you, and when you do, the other bandit drops one of the goods he's collected and is knocked into an adjacent car. Each player's character has a special power, such as starting the round with an extra card, playing your first card face down, or pocketing a bag of loot when you punch someone instead of letting it hit the ground. You can shoot someone in an adjacent car or (if you're running on top of the train) anyone in sight, and when you do, you give that player one of your six bullet cards; that card gets shuffled in the opponent's deck, possibly giving her a dead card in hand on a future turn and forcing her to draw instead of playing something. If the Marshal ends up in the same car as you, likely due to other bandits luring him through the train, he'll be happy to give you a bullet, too. At the end of the game, whoever fired the most bullets receives a $1,000 braggart bonus, and whoever bagged the richest haul wins!
159473	Quartermaster General is a fast-paced game that puts you in command of the major powers of the Second World War. In the game, supply is crucial to keep your armies and navies fighting; destroy your enemies' supply lines and their forces will surrender! During play, you control one or more countries on either the Axis or Allied team and try to score as many victory points (VPs) for your team as you can through the use of cards or by occupying the starred supply spaces. Each major power has a unique set of cards with which to marshal its forces, which are represented by wooden army and navy pieces. After twenty rounds of play, the team with the most VPs wins. Note: The French edition of Quartermaster General, known as Quartermaster, includes the Quartermaster General: Air Marshal expansion that is sold separately in the English edition.
159508	News from the depths! The AquaSphere is a research facility stationed deep below the ocean's surface, and your skilled team — consisting of an engineer, a scientist, reprogrammable bots, and exploratory submarines — is trying to gather as much data as possible. The game board in AquaSphere has two main areas: A research station comprising six sectors in which your scientist conducts experiments and a headquarters where your engineer supervises preparation of the bots. During each of the four game rounds, you take several turns, and on each turn you either: Use your engineer in the headquarters to program a bot; each round you can choose from three of the seven actions. Have your scientist bring a bot to a sector to perform an action. Through actions such as improving your lab, sending out submarines, collecting crystals, and examining octopuses, you expand the abilities of your team or gather knowledge points, which are necessary to win. Additional challenges result from the limited size of your lab, which is your personal stock; you can increase the size of your lab, which makes life easier, but this costs valuable time. AquaSphere is a challenging game of strategy and tactics with different paths to victory that requires planning in advance as well as skillful use of short-term opportunities.
159566	In Unicorns in the Clouds, players become one of the magical unicorns in the game and race from the thundercloud to the sun, trying to collect as many cloud crystals as possible along the way. To start, all unicorns stand on the thundercloud. On a turn, a player rolls the blue storm die and either moves 1-3 clouds or stands in place eating a muffin, forgetting all about the race, the crystals, and everything else. If you land on a pink cloud, you roll the crystal die and receive 1-3 crystals; if you land on a present, you give someone else a crystal from the reserve; and if you land on the front end of a rainbow, you slide along the path to the next cloud. Whoever reaches the final cloud first claims the four crystals there, then players compare their holdings to see who horned their way to victory.
159675	Welcome to Arle In Fields of Arle, created by Uwe Rosenberg, one to two players live as farmers in the small and peaceful town of Arle in East Frisia. The flax grown in the land surrounding the village makes it a profitable place to work and live. Fields of Arle takes players through four and a half years of this era of prosperity, with different opportunities available as the seasons change. Farm the land to capitalize on the demand for flax, or find other ways to make the most of the small town’s prosperity. Work the Land Whether you delve into flax farming or leverage other areas of expertise, always make sure that you have the land to build up your village. Construct dikes to keep the waters at bay and expand your fields. Dry out bogs to harvest peat and then clear the land for cultivation. Create more fields for your livestock, buildings, or future crops; after that, you can decide whether to house animals or cultivate a forest for timber. Perhaps you’d like to take up some flax farming for yourself, or diversify and try out a little bit of everything. Tools of the Trade At the outset of each half year, you’ll choose how you’d like to spend that time working. There are many ways to build your fortune. Use the Master space to increase the tools at your disposal, focus on the Cattle Trainer to make the most of your livestock, or build up your fleet of vehicles and ship out goods. Taking stock of your progress differs depending on the season. You may milk your existing livestock or care for a bunch of newborn animals. You could harvest your flax in the fall, and sheer your sheep in spring. At the end of each half year, you’ll need to take stock of your progress by unloading your vehicles and feeding your family and animals, so keep an eye on the season and do your best to keep the farm growing and everyone well fed! Travel and Prosper Once you’ve made headway in clearing fields and stocking up goods, it's time to make your products available to potential buyers. The more vehicles you have, the more goods you can ship. Send things into the wide world to increase your Travel Experience and grant you points over the course of the four and a half years of the game. Build up your farm and your vehicles and get your goods out into the world to make the most of every season. There are many roads to success in Fields of Arle, so pick your path, work the land, and enjoy the friendly competition as you strive to make your fortune! - from the publisher's website
160499	There's always something happening in the city that never sleeps. Maybe it's the lights, maybe it's the energy, or maybe it's the giant monsters trying to demolish the place! King of New York is a standalone game from designer Richard Garfield that keeps the core ideas of King of Tokyo while introducing new ways to play. As in KoT, your goal is to be the first monster to collect 20 victory points (VPs) or to be the last monster standing. On your turn, you roll six dice up to three times, then carry out the actions on those dice. Claws cause damage to other monsters, hearts heal damage to yourself, and energy is stored up so that you can purchase power cards that provide unique effects not available to anyone else. What's new in King of New York is that you can now try to become a star in the big city; more specifically, you can achieve "Fame", which nets you VPs, but superstar status is fleeting, so enjoy your time in the spotlight. The game board for King of New York is larger than in KoT with each monster occupying a district in the city and everyone trying to shine in Manhattan. When you attack, you can displace a monster in another district, whether to escape military forces or to find new smashing opportunities. Yes, smashing because you can now destroy buildings and get bonuses for doing so, but the more destruction you cause, the more intense the military response. The monsters from King of New York can be used in KoT and vice versa, but the power cards are specific to this game. Part of the King of Tokyo series.
160561	The palace and gardens of Versailles, finalized under the rule of Louis XIV of France, are an architectural marvel of the world. In Versailles, players take the roles of architects and interior designers, working together to build and decorate the ensemble of Versailles, competing for the favor of the King. Players take turns moving one worker from a building site to an adjacent one, activating all the workers in the new location. Despite simple rules, players develop complex strategies, gathering resources, building the puzzle-like palace, designing impressive decorations and learning new skills, all while waiting for the arrival of his Majesty.
161417	The rules of "Red" are simple: highest card wins! But "Red" is just one of seven games you'll be playing in Red7, and if you're not winning the current game at the end of your turn, you're out! The last person standing wins the round. The deck in Red7 is 49 cards: each of the colors of the rainbow numbered 1 to 7. A hand takes just a couple minutes!
161527	For Catan: Ancient Egypt, designer Klaus Teuber has transformed his best-selling game The Settlers of Catan to a new location and time, with players now living in the time of the Pharaohs and using their oxcarts to move resources to build small villages and great temples styled after some of the most interesting buildings of Egyptian antiquity. As always, you must beware of the robber! His chariot can interrupt production at your cattle pastures, papyrus groves and quarries. After you master the Catan: Ancient Egypt base game, you can try these variants: Help from the Gods: Ten god cards are now available to player, with their powers adding a variety of options for dynamic gameplay. The Great Pyramid: Players can now build and move papyrus boats across the Nile to compete for the pharaoh's blessing and the vizier's favor by building blocks onto the great pyramid.
161533	Lisboa is a game about the reconstruction of Lisboa after the great earthquake of 1755. On November 1, 1755, Lisbon suffered an earthquake of an estimated magnitude of 8.5–9.0, followed by a tsunami and three days of fires. The city was almost totally destroyed. The Marques of Pombal — Sebastião José de Carvalho e Melo — was the then Minister of Foreign Affairs and the King put him in charge of the reconstruction of Lisbon. The Marques of Pombal gathered a team of engineers and architects and you, the players, are members of the nobility; members who will use your influence in the reconstruction and business development of the new city. You will work with the architects to build Lisbon anew, with the Marquis to develop commerce and with the King to open all the buildings, but the true reason you do all this is not for greatness or fame or even fortune, but for the most important thing of all in that time: wigs. Lisboa is played on a real map of downtown Lisbon. During the planning of the downtown project, the type of business permitted in each street was previously determined. The economic motor is driven by the wealth of the royal treasure and this treasure is controlled by player actions during the game, making each game a totally different experience. The game ends after a fixed number of rounds and whoever gathers the most wigs by the end of the game wins. Lisboa is played in rounds. Each round, all players play one turn. They may place one card on their display or replace one card from this display. During the game, players schedule hearings to get character favors, such as commerce, construction, and openings. The iconic buildings score the stores and stores provide income to the players. Players need to manage influence, construction licenses, store permits, church power, workers and money, with the workers' cost being dependent on the prestige of the players.
